X,Time[s],Throughput[GB/s]
5,.00000840000000000000,.47238095238095238095
6,.00000920000000000000,1.75304347826086956521
7,.00001020000000000000,6.37490196078431372549
8,.00001540000000000000,16.95584415584415584415
9,.00002780000000000000,37.64489208633093525179
10,.00014840000000000000,28.23590296495956873315
11,.00063460000000000000,26.42455720138670028364
12,.00185120000000000000,36.24269662921348314606
13,.00726400000000000000,36.94970925110132158590
14,.05233280000000000000,20.51631649749296808120
