Size,Time[s],Throughput[GB/s]
32,0.000000,
64,0.000000,
128,0.000001,130.04800000000000000000
256,0.000003,174.08000000000000000000
512,0.000015,139.53706666666666666666
1024,0.000077,108.83657142857142857142
2048,0.000832,40.31015384615384615384
4096,0.003654,36.72275862068965517241
8192,0.015787,34.00300095014885665420
16384,0.071736,29.93409969889595182335
32768,0.295789,29.03986438981841785867
65536,1.195629,28.73735421271983198801
