Size,Time[s],Throughput[GB/s]
32,0.000002,3.96800000000000000000
64,0.000001,32.25600000000000000000
128,0.001992,.06528514056224899598
256,0.000003,174.08000000000000000000
512,0.000006,348.84266666666666666666
1024,0.000031,270.33600000000000000000
2048,0.000814,41.20153316953316953316
4096,0.001826,73.48573932092004381161
8192,0.017962,29.88561273800244961585
16384,0.078279,27.43203893764611198405
