X,Time[s],Throughput[GB/s]
5,.00000380000000000000,1.04421052631578947368
6,.00000400000000000000,4.03200000000000000000
7,.00000540000000000000,12.04148148148148148148
8,.00000900000000000000,29.01333333333333333333
9,.00003640000000000000,28.75076923076923076923
10,.00015040000000000000,27.86042553191489361702
11,.00058900000000000000,28.47032937181663837011
12,.00233600000000000000,28.72109589041095890410
13,.00896520000000000000,29.93828224691027528666
14,.03649100000000000000,29.42304370940779918336
