X,Time[s],Throughput[GB/s]
5,.00022080000000000000,.01797101449275362318
6,.00013560000000000000,.11893805309734513274
7,.00019140000000000000,.33972831765935214211
8,.00028580000000000000,.91364590622813156053
9,.00028560000000000000,3.66431372549019607843
10,.00058420000000000000,7.17255734337555631633
11,.00116720000000000000,14.36688142563399588759
12,.00299700000000000000,22.38654654654654654654
13,.00964420000000000000,27.83047717799299060575
14,.03648060000000000000,29.43143171987302840413
