Size,Time[s],Throughput[GB/s]
128,0.012960,.01003456790123456790
256,0.012940,.04035857805255023183
512,0.012843,.16297251421007552752
1024,0.017154,.48854004896817068905
2048,0.010638,3.15266478661402519270
4096,0.004115,32.60873876063183475091
8192,0.010020,53.57339081836327345309
16384,0.014470,148.40031624049758120248
