X,Time[s],Throughput[GB/s]
5,.00016120000000000000,.02461538461538461538
6,.00011460000000000000,.14073298429319371727
7,.00010160000000000000,.64000000000000000000
8,.00009120000000000000,2.86315789473684210526
9,.00010780000000000000,9.70805194805194805194
10,.00015340000000000000,27.31556714471968709256
11,.00024640000000000000,68.05610389610389610389
12,.00218040000000000000,30.77072096862960924600
13,.00728780000000000000,36.82904141167430500288
14,.03540260000000000000,30.32761119239829843005
