X,Time[s],Throughput[GB/s]
5,0.000000,
6,0.000000,
7,0.000001,130.04800000000000000000
8,0.000005,104.44800000000000000000
9,0.000026,80.50215384615384615384
10,0.000125,67.04332800000000000000
11,0.000819,40.94999755799755799755
12,0.003898,34.42405336069779374037
13,0.017482,30.70617641002173664340
14,0.076031,28.24311893832778734989
