Size,Time[s],Throughput[GB/s]
32768,.00023200000000000000,.56496551724137931034
65536,.00030440000000000000,.86118265440210249671
131072,.00044580000000000000,1.17606101390758187528
262144,.00077560000000000000,1.35195461578133058277
524288,.00138720000000000000,1.51178777393310265282
1048576,.00263680000000000000,1.59067961165048543689
2097152,.00497840000000000000,1.68500080347099469709
4194304,.00967280000000000000,1.73447357538665122818
8388608,.01956400000000000000,1.71511102024125945614
16777216,.03768060000000000000,1.78099244704171377313
33554432,.08039780000000000000,1.66942040702606290221
67108864,.16682180000000000000,1.60911497178426320780
134217728,.33941400000000000000,1.58175830107184736045
268435456,.59983920000000000000,1.79004943991656430590
536870912,1.08957580000000000000,1.97093552187924878654
1073741824,2.42669020000000000000,1.76988694148103453831
