Size,Time[s],Throughput[GB/s]
32768,0.030951,.00423482278440115020
65536,0.029517,.00888111935494799607
131072,0.032033,.01636712140605001092
262144,0.035287,.02971564598860770255
524288,0.032725,.06408409472880061115
1048576,0.035172,.11925122256340270669
2097152,0.041183,.20369103756404341597
4194304,0.051672,.32468679362130360736
8388608,0.075428,.44485379434692687065
16777216,0.112952,.59413612862100715348
33554432,0.208595,.64343693760636640379
67108864,0.400127,.67087563698525718084
134217728,0.721231,.74438135909299517075
268435456,1.461457,.73470640874141353457
536870912,2.847441,.75418020882610034764
1073741824,5.498585,.78110410150975205439
