Size,Time[s],Throughput[GB/s]
32768,0.000189211260,0.692728329170
65536,0.000162496590,1.613227699117
131072,0.000156130890,3.358003019133
262144,0.000181773240,5.768593881036
524288,0.000289560040,7.242546312675
1048576,0.000404224030,10.376186690336
2097152,0.000561472590,14.940369573517
4194304,0.001063187630,15.780108352088
8388608,0.001984899460,16.904852198408
16777216,0.003463278490,19.377264691180
33554432,0.006707854090,20.009041073223
67108864,0.013152154450,20.409998758797
134217728,0.055979281890,9.590528743383
268435456,0.051836371110,20.714062366007
536870912,0.118609908000,18.105432203859
1073741824,0.221870933580,19.357953863981
