Size,Time[s],Throughput[GB/s]
32768,0.001065,.12307230046948356807
65536,0.001197,.21900083542188805346
131072,0.001391,.37691445003594536304
262144,0.002122,.49414514608859566446
524288,0.004176,.50219157088122605363
1048576,0.005182,.80939868776534156696
2097152,0.005301,1.58245764950009432182
4194304,0.015505,1.08205198323121573685
8388608,0.019773,1.69698234966874020128
16777216,0.042720,1.57090037453183520599
33554432,0.063942,2.09905426793031184510
67108864,0.133783,2.00649900211536592840
134217728,0.341017,1.57432301615461985766
268435456,0.311650,3.44534517567784373495
536870912,1.150928,1.86587140811588561578
1073741824,2.086466,2.05848899335047875211
