Size,Time[s],Throughput[GB/s]
32768,0.000604832410,0.216707963781
65536,0.000422990260,0.619740038459
131072,0.000603693510,0.868467179646
262144,0.000491574950,2.133094861730
524288,0.000413194500,5.075459620106
1048576,0.000469522630,8.933124267088
2097152,0.000439259790,19.097145222421
4194304,0.000433230230,38.725866382870
8388608,0.000479950900,69.912218103977
16777216,0.000557623310,120.348024905917
33554432,0.000880292690,152.469433774351
67108864,0.001193537590,224.907416615173
134217728,0.001671243960,321.240300548341
268435456,0.002529918100,424.417622056619
536870912,0.004578394040,469.047362293002
1073741824,0.008781424090,489.096899544001
