Size,Time[s],Throughput[GB/s]
32768,0.001312,.09990243902439024390
65536,0.001438,.18229763560500695410
131072,0.001440,.36408888888888888888
262144,0.001337,.78427524308152580403
524288,0.001687,1.24312507409602845287
1048576,0.002691,1.55864139725009290226
2097152,0.003397,2.46941654400942007653
4194304,0.005499,3.05095762865975631933
8388608,0.008453,3.96952939784691825387
16777216,0.013849,4.84575521698317568055
33554432,0.027328,4.91136299765807962529
67108864,0.045124,5.94883999645421505185
134217728,0.112089,4.78968419737886857764
268435456,0.210925,5.09063327723124333293
536870912,0.432679,4.96322596659417258521
1073741824,0.973331,4.41264821114297191808
