Size,Time[s],Throughput[GB/s]
32768,0.000003713230,35.298648346588
65536,0.000005157890,50.823883409689
131072,0.000007689180,68.185164087718
262144,0.000012745910,82.267645072027
524288,0.000024164920,86.784975907224
1048576,0.000045960460,91.258964771023
2097152,0.000148748360,56.394625123934
4194304,0.000297469430,56.399798796132
8388608,0.000648169970,51.767952162301
16777216,0.001368357420,49.043373477669
33554432,0.003181279210,42.189861103075
67108864,0.010457728440,25.668619867127
134217728,0.021460021070,25.017259314368
268435456,0.043071021420,24.929564904663
536870912,0.086325859240,24.876481588554
1073741824,0.172629801200,24.879639935541
