Size,Time[s],Throughput[GB/s]
32768,.00001300000000000000,10.08246153846153846153
65536,.00002200000000000000,11.91563636363636363636
131072,.00003080000000000000,17.02233766233766233766
262144,.00004680000000000000,22.40547008547008547008
524288,.00007700000000000000,27.23574025974025974025
1048576,.00014920000000000000,28.11195710455764075067
2097152,.00031080000000000000,26.99037323037323037323
4194304,.00061860000000000000,27.12126737795021015195
8388608,.00123940000000000000,27.07312570598676779086
16777216,.00245260000000000000,27.36233548071434396151
33554432,.00483060000000000000,27.78489794228460232683
67108864,.00976640000000000000,27.48560943643512450851
134217728,.01936260000000000000,27.72721184138493797320
268435456,.04352000000000000000,24.67237647058823529411
536870912,.11025080000000000000,19.47816839424294426888
1073741824,.21560660000000000000,19.92038878216158503496
