Size,Time[s],Throughput[GB/s]
32768,0.000004,32.76800000000000000000
65536,0.000006,43.69066666666666666666
131072,0.000012,43.69066666666666666666
262144,0.000025,41.94304000000000000000
524288,0.000057,36.79214035087719298245
1048576,0.000108,38.83614814814814814814
2097152,0.000244,34.37954098360655737704
4194304,0.000619,27.10374151857835218093
8388608,0.001316,25.49728875379939209726
16777216,0.002839,23.63820500176118351532
33554432,0.005611,23.92046480128319372660
67108864,0.011420,23.50573169877408056042
134217728,0.023184,23.15695790200138026224
268435456,0.050744,21.15997603657575279836
536870912,0.095948,22.38174477842164505773
1073741824,0.191865,22.38536104031480468037
