Size,Time[s],Throughput[GB/s]
32768,0.000004,32.76800000000000000000
65536,0.000006,43.69066666666666666666
131072,0.000012,43.69066666666666666666
262144,0.000023,45.59026086956521739130
524288,0.000056,37.44914285714285714285
1048576,0.000102,41.12062745098039215686
2097152,0.000248,33.82503225806451612903
4194304,0.000601,27.91550083194675540765
8388608,0.001321,25.40078122634367903103
16777216,0.002968,22.61080323450134770889
33554432,0.005641,23.79325084204928204219
67108864,0.011457,23.42982072095662040673
134217728,0.024146,22.23436229603246914602
268435456,0.047335,22.68388769409527833526
536870912,0.099128,21.66374433056250504398
1073741824,0.189254,22.69419561013241463852
