Size,Time[s],Throughput[GB/s]
32768,0.000066,1.98593939393939393939
65536,0.000097,2.70251546391752577319
131072,0.000111,4.72331531531531531531
262144,0.000476,2.20289075630252100840
524288,0.000335,6.26015522388059701492
1048576,0.000625,6.71088640000000000000
2097152,0.001203,6.97307398171238570241
4194304,0.002301,7.29127162103433289873
8388608,0.004526,7.41370570039770216526
16777216,0.009069,7.39980857867460579997
33554432,0.017764,7.55560279216392704345
67108864,0.047972,5.59566947385975152172
134217728,0.072728,7.38190122098779012209
268435456,0.145051,7.40251238529896381272
536870912,0.253503,8.47123563823702283602
1073741824,0.616156,6.97058422866936295353
