Size,Time[s],Throughput[GB/s]
32768,0.000070,1.87245714285714285714
65536,0.000093,2.81875268817204301075
131072,0.000118,4.44311864406779661016
262144,0.000196,5.34987755102040816326
524288,0.000332,6.31672289156626506024
1048576,0.000600,6.99050666666666666666
2097152,0.001206,6.95572802653399668325
4194304,0.002327,7.20980489901160292221
8388608,0.004441,7.55560279216392704345
16777216,0.009072,7.39736155202821869488
33554432,0.018368,7.30714982578397212543
67108864,0.036717,7.31093106735299724923
134217728,0.073137,7.34061982307176941903
268435456,0.144940,7.40818148199254864081
536870912,0.247370,8.68126146258640902292
1073741824,0.545527,7.87306090440986422303
2147483648,2.512572,3.41878146855095097772
4294967296,2.403331,7.14835750215014078377
