Size,Time[s],Throughput[GB/s]
32768,.00014740000000000000,.88922659430122116689
65536,.00001440000000000000,18.20444444444444444444
131072,.00001040000000000000,50.41230769230769230769
262144,.00001400000000000000,74.89828571428571428571
524288,.00001840000000000000,113.97565217391304347826
1048576,.00003080000000000000,136.17870129870129870129
2097152,.00005040000000000000,166.44063492063492063492
4194304,.00012460000000000000,134.64860353130016051364
8388608,.00026780000000000000,125.29660941000746825989
16777216,.00052660000000000000,127.43802506646410938093
33554432,.00111540000000000000,120.33147570378339609108
67108864,.00217140000000000000,123.62321820023947683522
134217728,.00441940000000000000,121.48049780513191835995
268435456,.00765560000000000000,140.25573749934688332723
536870912,.01818400000000000000,118.09742894852617685877
1073741824,.03910220000000000000,109.83953066579374050564
