Size,Time[s],Throughput[GB/s]
32768,.00110480000000000000,.11863866763215061549
65536,.00108160000000000000,.24236686390532544378
131072,.00098800000000000000,.53065587044534412955
262144,.00139120000000000000,.75372052903967797584
524288,.00155560000000000000,1.34813062483929030599
1048576,.00201640000000000000,2.08009521920253917873
2097152,.00332900000000000000,2.51985821568038449984
4194304,.00445840000000000000,3.76305759913870446797
8388608,.01062640000000000000,3.15764812165926372054
16777216,.01893800000000000000,3.54360882880980040130
33554432,.03382760000000000000,3.96769880216154855798
67108864,.06062400000000000000,4.42787437318553708102
134217728,.13835340000000000000,3.88043164822837747391
268435456,.60519740000000000000,1.77420098632280971464
536870912,.46575520000000000000,4.61075613970600865003
1073741824,1.18403540000000000000,3.62739770787258556627
