Size,Time[s],Throughput[GB/s]
32768,.00002440000000000000,5.37180327868852459016
65536,.00004200000000000000,6.24152380952380952380
131072,.00007640000000000000,6.86240837696335078534
262144,.00014820000000000000,7.07541160593792172739
524288,.00031380000000000000,6.68308476736775015933
1048576,.00062860000000000000,6.67245307031498568246
2097152,.00122280000000000000,6.86016355904481517827
4194304,.00241120000000000000,6.95803583278035832780
8388608,.00480420000000000000,6.98439532076100079097
16777216,.00969480000000000000,6.92215043115897181994
33554432,.01976980000000000000,6.78902811358739086890
67108864,.03920880000000000000,6.84630633939319744547
134217728,.09656480000000000000,5.55969578977018540917
268435456,.21773280000000000000,4.93146564964029305644
536870912,.41814820000000000000,5.13569984995750310535
1073741824,.81253880000000000000,5.28586117487558747963
