Size,Time[s],Throughput[GB/s]
32768,0.011848,.01106279540850776502
65536,0.012094,.02167554159087150653
131072,0.012665,.04139660481642321358
262144,0.013382,.07835719623374682409
524288,0.013617,.15400984064037600058
1048576,0.017772,.23600630204816565383
2097152,0.020825,.40281430972388955582
4194304,0.032812,.51131342191881019139
8388608,0.066709,.50299707685619631533
16777216,0.068066,.98593811888461199424
33554432,0.159835,.83972676822973691619
67108864,0.256181,1.04783514780565303437
134217728,0.532874,1.00750066995199615668
268435456,0.765865,1.40199881702388802204
536870912,1.682720,1.27619785109822192640
1073741824,3.242170,1.32471995484505747693
