Size,Time[s],Throughput[GB/s]
32768,0.000150,.87381333333333333333
65536,0.000238,1.10144537815126050420
131072,0.000317,1.65390536277602523659
262144,0.000458,2.28946724890829694323
524288,0.000857,2.44708518086347724620
1048576,0.001536,2.73066666666666666666
2097152,0.003116,2.69210783055198973042
4194304,0.008239,2.03631702876562689646
8388608,0.011109,3.02047276982626699072
16777216,0.018358,3.65556509423684497221
33554432,0.030967,4.33421797397229308618
67108864,0.061265,4.38154665796131559618
134217728,0.165985,3.23445439045696900322
268435456,0.169941,6.31832120559488292995
536870912,0.298701,7.18940896749592401766
1073741824,0.603600,7.11558531477799867461
2147483648,1.267721,6.77588727488146051063
4294967296,2.941194,5.84112070948057149579
