Size,Time[s],Throughput[GB/s]
32768,0.000147563170,0.888243319793
65536,0.000151109990,1.734789341194
131072,0.000147179820,3.562227484719
262144,0.000151615600,6.916016557663
524288,0.000143210170,14.643876199574
1048576,0.000173561060,24.166158008023
2097152,0.000190370000,44.064758102642
4194304,0.000205560730,81.616834110289
8388608,0.000292531680,114.703583557172
16777216,0.000480634280,139.625629699155
33554432,0.000821044500,163.471928744422
67108864,0.001547048110,173.514614228771
134217728,0.003499635310,153.407673784158
268435456,0.010632133450,100.990250832489
536870912,0.021774346050,98.624484201214
1073741824,0.043662878480,98.366563211524
