Size,Time[s],Throughput[GB/s]
32768,0.000010,13.10720000000000000000
65536,0.000012,21.84533333333333333333
131072,0.000014,37.44914285714285714285
262144,0.000019,55.18821052631578947368
524288,0.000025,83.88608000000000000000
1048576,0.000043,97.54195348837209302325
2097152,0.000099,84.73341414141414141414
4194304,0.000244,68.75908196721311475409
8388608,0.000317,105.84994321766561514195
16777216,0.000751,89.35933954727030625832
33554432,0.001399,95.93833309506790564689
67108864,0.002470,108.67832226720647773279
134217728,0.009112,58.91910798946444249341
268435456,0.012726,84.37386641521294986641
536870912,0.026764,80.23776894335674787027
1073741824,0.052482,81.83695926222323844365
