Size,Time[s],Throughput[GB/s]
32768,0.000258,.50803100775193798449
65536,0.000309,.84836245954692556634
131072,0.000377,1.39068435013262599469
262144,0.000593,1.76825632377740303541
524288,0.001055,1.98782180094786729857
1048576,0.001861,2.25379043524986566362
2097152,0.003142,2.66983068109484404837
4194304,0.006197,2.70731257059867677908
8388608,0.010317,3.25234389842008335756
16777216,0.016187,4.14584938530919873972
33554432,0.030250,4.43694968595041322314
67108864,0.066674,4.02608897021327653958
134217728,0.121662,4.41280689122322500041
268435456,0.203436,5.27803252128433512259
536870912,0.341976,6.27963262919035253935
1073741824,0.600704,7.14988962284253142978
