Size,Time[s],Throughput[GB/s]
32768,0.001786,.07338857782754759238
65536,0.002143,.12232571161922538497
131072,0.001835,.28571553133514986376
262144,0.002576,.40705590062111801242
524288,0.003116,.67302695763799743260
1048576,0.004738,.88524778387505276487
2097152,0.006924,1.21152628538417099942
4194304,0.012181,1.37732665626795829570
8388608,0.021015,1.59668960266476326433
16777216,0.039019,1.71990220149158102462
33554432,0.076384,1.75714453288646837033
67108864,0.167348,1.60405535769773167292
134217728,0.324497,1.65447111067282594292
268435456,0.616708,1.74108625800216634128
536870912,1.188775,1.80646770667283548190
1073741824,2.385252,1.80063460632251854311
