Size,Time[s],Throughput[GB/s]
32768,0.000149,.87967785234899328859
65536,0.000162,1.61817283950617283950
131072,0.000346,1.51528323699421965317
262144,0.000730,1.43640547945205479452
524288,0.001042,2.01262188099808061420
1048576,0.002650,1.58275622641509433962
2097152,0.004981,1.68412126079100582212
4194304,0.006085,2.75714313886606409202
8388608,0.013547,2.47689023400014763416
16777216,0.025084,2.67536533248285759846
33554432,0.041420,3.24040869145340415258
67108864,0.065174,4.11875066744407278976
134217728,0.126935,4.22949471776893685744
268435456,0.213417,5.03119162953279260789
536870912,0.338593,6.34237461495069301491
1073741824,0.766249,5.60518486288399723849
