Size,Time[s],Throughput[GB/s]
32768,0.000414,.31659903381642512077
65536,0.000417,.62864268585131894484
131072,0.000529,.99109262759924385633
262144,0.000608,1.72463157894736842105
524288,0.000948,2.21218565400843881856
1048576,0.001403,2.98952530292230933713
2097152,0.002457,3.41416687016687016687
4194304,0.004743,3.53725827535315201349
8388608,0.010176,3.29740880503144654088
16777216,0.014088,4.76354798409994321408
33554432,0.026130,5.13653761959433601224
67108864,0.051453,5.21710018852156336851
134217728,0.126631,4.23964836414464072778
268435456,0.192592,5.57521508681565174046
536870912,0.411102,5.22372464254613210346
1073741824,0.520473,8.25204630403498356302
