Size,Time[s],Throughput[GB/s]
32768,0.000065912400,1.988578780321
65536,0.000068254150,3.840704191613
131072,0.000069453950,7.548713932037
262144,0.000067967480,15.427613323313
524288,0.000079999450,26.214580225239
1048576,0.000082609820,50.772462644272
2097152,0.000100616140,83.372389360196
4194304,0.000136234840,123.149232604523
8388608,0.000238933270,140.434322938785
16777216,0.000444280560,151.050642413884
33554432,0.000735578480,182.465544669007
67108864,0.001513295310,177.384714157344
134217728,0.002736347420,196.199834887925
268435456,0.005314262050,202.049092404090
536870912,0.010973714890,195.693406428568
1073741824,0.022316317180,192.458606021659
