Size,Time[s],Throughput[GB/s]
32768,.00010800000000000000,1.21362962962962962962
65536,.00013580000000000000,1.93036818851251840942
131072,.00019300000000000000,2.71651813471502590673
262144,.00027460000000000000,3.81855790240349599417
524288,.00045680000000000000,4.59096322241681260945
1048576,.00083720000000000000,5.00991877687529861442
2097152,.00157560000000000000,5.32407209951764407209
4194304,.00319840000000000000,5.24550275137568784392
8388608,.00623360000000000000,5.38283367556468172484
16777216,.01223660000000000000,5.48427373616854354967
33554432,.02425640000000000000,5.53329133754390593822
67108864,.04867640000000000000,5.51469410227543532389
134217728,.09791040000000000000,5.48328790404288002091
268435456,.20079060000000000000,5.34757017509783824541
536870912,.40695860000000000000,5.27690936621071529143
1073741824,.81317620000000000000,5.28171790566423365563
