X,Time[s],Throughput[GB/s]
5,.00000880000000000000,.45090909090909090909
6,.00000940000000000000,1.71574468085106382978
7,.00000980000000000000,6.63510204081632653061
8,.00000960000000000000,27.20000000000000000000
9,.00001060000000000000,98.72905660377358490566
10,.00001500000000000000,279.34720000000000000000
11,.00004140000000000000,405.04888888888888888888
12,.00047620000000000000,140.89139017219655606887
13,.00182980000000000000,146.68416657558203082304
14,.00871540000000000000,123.19300181288294283681
