X,Time[s],Throughput[GB/s]
5,.00023300000000000000,.01703004291845493562
6,.00031300000000000000,.05152715654952076677
7,.00044180000000000000,.14717971933001358080
8,.00329380000000000000,.07927621592082093630
9,.00308460000000000000,.33927510860403293782
10,.00224860000000000000,1.86347416170061371520
11,.00071960000000000000,23.30325736520289049471
12,.00116500000000000000,57.59011158798283261802
13,.00209320000000000000,128.22601184788840053506
14,.00644040000000000000,166.70956586547419414943
