Size,Time[s],Throughput[GB/s]
32768,0.000003,43.69066666666666666666
65536,0.000004,65.53600000000000000000
131072,0.000007,74.89828571428571428571
262144,0.000015,69.90506666666666666666
524288,0.000030,69.90506666666666666666
1048576,0.000064,65.53600000000000000000
2097152,0.000156,53.77312820512820512820
4194304,0.000498,33.68918875502008032128
8388608,0.001172,28.63006143344709897610
16777216,0.002493,26.91891857200160449257
33554432,0.004073,32.95303903756444880923
67108864,0.012494,21.48514935168881062910
134217728,0.025026,21.45252585311276272676
268435456,0.045694,23.49852987263097999737
536870912,0.089595,23.96878897259891735029
1073741824,0.179636,23.90927929813623104500
