Size,Time[s],Throughput[GB/s]
32768,0.000138,.94979710144927536231
65536,0.000228,1.14975438596491228070
131072,0.000328,1.59843902439024390243
262144,0.000525,1.99728761904761904761
524288,0.000957,2.19138140020898641588
1048576,0.002096,2.00109923664122137404
2097152,0.003535,2.37301499292786421499
4194304,0.006004,2.79433977348434377081
8388608,0.011063,3.03303190816234294495
16777216,0.030822,2.17730400363376808772
33554432,0.034412,3.90031756364059049168
67108864,0.061450,4.36835567127746135069
134217728,0.096262,5.57718426793542623257
268435456,0.186867,5.74602163035741998319
536870912,0.473472,4.53560854284941876182
1073741824,0.578989,7.41804644993255484991
