Size,Time[s],Throughput[GB/s]
32768,0.000065492280,2.001335119193
65536,0.000071645920,3.658882459741
131072,0.000066623480,7.869417808857
262144,0.000066338290,15.806497273294
524288,0.000071760920,29.224151529830
1048576,0.000080864230,51.868471387163
2097152,0.000099347210,84.437278107760
4194304,0.000132480460,126.639173807217
8388608,0.000279537480,120.035538704864
16777216,0.000551167530,121.757651434946
33554432,0.000883479130,151.919522988619
67108864,0.001730069350,155.158783663788
134217728,0.003307414590,162.323439469377
268435456,0.007313789400,146.810601902210
536870912,0.014720832020,145.880589159797
1073741824,0.032022304020,134.124243318579
