Size,Time[s],Throughput[GB/s]
32768,0.000137759100,0.951458016204
65536,0.000150060390,1.746923355324
131072,0.000138331040,3.790096568348
262144,0.000145854050,7.189214149350
524288,0.000147110970,14.255578628841
1048576,0.000174701660,24.008380916358
2097152,0.000174666180,48.026515493726
4194304,0.000198693660,84.437601078968
8388608,0.000281954320,119.006624902928
16777216,0.000468416740,143.267433183537
33554432,0.000926469710,144.870065962545
67108864,0.001508704980,177.924418331276
134217728,0.004525258100,118.638738418036
268435456,0.010940874540,98.140401854933
536870912,0.022311492920,96.250110008327
1073741824,0.044471249950,96.578515351579
