Size,Time[s],Throughput[GB/s]
32768,0.000022944500,5.712567281919
65536,0.000041715950,6.284023257291
131072,0.000079555740,6.590197011554
262144,0.000155180020,6.757158556881
524288,0.000305394090,6.867035311653
1048576,0.000607722940,6.901671343853
2097152,0.001216153070,6.897658039049
4194304,0.002429586380,6.905379507437
8388608,0.004852373750,6.915055131522
16777216,0.009563552210,7.017148286160
33554432,0.019559792370,6.861919874255
67108864,0.039318862850,6.827141899400
134217728,0.078583276840,6.831872296355
268435456,0.154596173010,6.945461864250
536870912,0.304279345580,7.057605713942
1073741824,0.591575642450,7.260216594132
